t,msd
580.3000000000001,-57.93367200644352
580.4,-57.91813825047396
580.5,-57.891062465335516
580.6,-57.85902839280504
580.7,-57.83603116942772
580.8000000000001,-57.82753280725023
580.9,-57.82686000963472
581.0,-57.84284360687701
581.1,-57.874393774779385
581.2,-57.92179521043503
581.3000000000001,-57.9677462555043
581.4,-57.99885795197942
581.5,-58.01032373999467
581.6,-57.99738885255066
581.7,-57.980083286469494
581.8000000000001,-57.98003122205722
581.9,-57.98885312523922
582.0,-57.97811608877029
582.1,-57.93928549504647
582.2,-57.883579315066534
582.3000000000001,-57.83631687828415
582.4,-57.83212943567796
582.5,-57.86636044414642
582.6,-57.900876416338335
582.7,-57.92372910969293
582.8000000000001,-57.94215729457951
582.9,-57.93807895017296
583.0,-57.89890478875262
583.1,-57.84185220550459
583.2,-57.79031550230696
583.3000000000001,-57.748946218849234
583.4,-57.71159109233378
583.5,-57.69644201218267
583.6,-57.709723939417955
583.7,-57.75487486111894
583.8000000000001,-57.81210680330107
583.9,-57.855953661932496
584.0,-57.87193025881324
584.1,-57.870459854565595
584.2,-57.85711396093378
584.3000000000001,-57.85223844868897
584.4,-57.87812243470559
584.5,-57.91731497562898
584.6,-57.95614246030001
584.7,-58.007405321091156
584.8000000000001,-58.0753202080229
584.9,-58.14059491186564
585.0,-58.17369544103104
585.1,-58.172622789035266
585.2,-58.14201314544149
585.3000000000001,-58.0875148129416
585.4,-58.02224054983889
585.5,-57.9819027978306
585.6,-57.98566294220937
585.7,-58.00831778426796
585.8000000000001,-58.01897739599172
585.9,-58.022231817166386
586.0,-58.03149325708695
586.1,-58.02616806061336
586.2,-58.001846406813094
586.3000000000001,-57.96520751742284
586.4,-57.94004935920982
586.5,-57.938161455269906
586.6,-57.95080752958892
586.7,-57.97588421793555
586.8000000000001,-57.99257750316858
586.9,-57.98504243963696
587.0,-57.95268417717913
587.1,-57.91476079577445
587.2,-57.891820832459935
587.3000000000001,-57.88961348879219
587.4,-57.906895703376634
587.5,-57.93158249502943
587.6,-57.95906528129047
587.7,-57.99357699451984
587.8000000000001,-58.03248466214208
587.9,-58.07228326636633
588.0,-58.09423709051576
588.1,-58.10554423043676
588.2,-58.11692454081707
588.3000000000001,-58.124658199309486
588.4,-58.11104661765676
588.5,-58.091546881070016
588.6,-58.09403014845418
588.7,-58.117874577767395
588.8000000000001,-58.15622335006735
588.9,-58.191317756822805
589.0,-58.219476235957764
589.1,-58.24704577979514
589.2,-58.27154106545098
589.3000000000001,-58.27802011475637
589.4,-58.26066094973763
589.5,-58.228488025332354
589.6,-58.1904912708869
589.7,-58.15014925650415
589.8000000000001,-58.117492259317935
589.9,-58.09736449217717
590.0,-58.09191806459737
590.1,-58.09008925158635
590.2,-58.08054314627891
590.3000000000001,-58.072096021163695
590.4,-58.08687317832038
590.5,-58.11342992939915
590.6,-58.130833760123494
590.7,-58.12347632251367
590.8000000000001,-58.103784587426816
590.9,-58.086248172466036
591.0,-58.075507809213995
591.1,-58.06759958435588
591.2,-58.047871504525794
591.3000000000001,-58.00976717706963
591.4,-57.97433981441844
591.5,-57.96667953649234
591.6,-57.97083297500394
591.7,-57.96677126429716
591.8000000000001,-57.9528986962442
591.9,-57.94357988676314
592.0,-57.94185664127088
592.1,-57.95287980429902
592.2,-57.995732825558434
592.3000000000001,-58.05902198824509
592.4,-58.10516954651908
592.5,-58.10668101077834
592.6,-58.086609678493254
592.7,-58.0716967461131
592.8000000000001,-58.064088612622655
592.9,-58.06531129988511
593.0,-58.07615510521224
593.1,-58.078565193503124
593.2,-58.05430960614065
593.3000000000001,-58.010045121085206
593.4,-57.961938771099085
593.5,-57.91093880164659
593.6,-57.862616395370104
593.7,-57.83374869948789
593.8000000000001,-57.83551107192026
593.9,-57.86152293501615
594.0,-57.87981451331292
